Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Afghanistan,AFG,2010,11.7,21.30640465,17.6,23.13614792,2104.0,31411743.0,577336.19325,4520085.85526,273855.773545,288079.973047,1876099.0526700001,194622.538574,196019.88866199998,549341.6995979999,1948043.5657,317143.852362,116273.040134,154642.33619200002,324917.37966,567952.892791,742783.059933,334871.31265100004,1360054.2156200001,735221.531246,24433.0663623,638765.868135,90922.7342504,290588.77699600003,724795.5199470001,16.7
Afghanistan,AFG,2011,12.1,21.371974899999998,18.2,23.27301775,2107.0,32358260.0,556862.311919,4593755.25039,269694.25674499996,280599.41497,1844073.70075,190949.485902,181530.606773,555134.523343,1971675.11204,319631.29129,116430.64256600001,151209.587801,332445.81225,589829.9424310001,751911.877389,347341.66648,1300500.75908,721572.339289,7445.20677399,682412.283282,92927.7190985,293776.605049,657100.057414,17.2
Afghanistan,AFG,2012,12.5,21.44237223,18.9,23.41355274,2100.0,33397058.0,543752.688987,4410766.47621,274423.442709,276872.039201,1845900.39643,192721.523763,182148.076439,571672.632814,2008194.03696,326640.621369,119363.115619,153569.862631,345151.261084,614059.2712020001,778638.228748,362439.580531,1325674.7306600001,740365.483976,23421.8119965,696735.212957,96410.5450543,303832.637501,663862.287871,17.6
Afghanistan,AFG,2013,12.9,21.5086472,19.5,23.54970156,2090.0,34499915.0,559159.736902,3527350.6933699995,302079.587646,282475.205009,1919799.53463,205793.58459,221179.138408,615582.241007,2071797.8850599998,345323.934948,129282.005115,170308.104324,368447.57101799996,640738.0685630001,847821.5932100001,380193.163336,1557879.2538299998,838282.394294,12059.2734182,718251.148272,103157.339525,328380.48191,852112.5869529999,18.1
Albania,ALB,2010,54.8,26.24095647,44.2,25.60662053,3076.0,3204284.0,450.45695412199996,22361.70397,291.292521121,426.49913623199996,23910.0020827,7351.13037744,2007.45023558,99500.6999998,215653.017808,17249.630482599998,7702.55312121,8124.05155753,47919.17759190001,51700.0978517,34033.4886671,66935.3313098,79379.8162529,19418.320293,74.8651145334,607.606416977,9152.92246468,4701.93558738,40577.9338132,54.3
Albania,ALB,2011,55.8,26.32010579,44.5,25.64432705,3132.0,3215988.0,429.813619705,21246.3412928,271.185508346,343.301350441,23572.103538299998,7066.05271828,1974.5923848000002,99404.6919976,212529.27607,17089.2427254,7659.50816905,8024.30753952,47799.6982891,51683.52351580001,33851.0776427,67321.865868,78817.5520773,19536.0128528,84.3828632866,707.878529218,8957.22565901,4763.20889485,43222.5881351,55.1
Albania,ALB,2012,56.7,26.39507014,44.9,25.67464418,3184.0,3227373.0,420.76097484800005,20797.988727400003,284.242554239,338.737690863,23258.307161599998,6872.71200724,1955.85190468,99712.0231871,211711.27963499998,17102.7512155,7665.28676619,8007.23250492,48047.5177543,51754.9955874,33954.3615585,67950.7888748,78624.2799618,19293.9136386,85.2172315503,706.684347987,8759.46230264,4752.12457969,43372.4719399,55.8
Albania,ALB,2013,57.5,26.464979200000002,45.1,25.69953261,3193.0,3238316.0,410.170590465,20502.6309348,298.926857293,337.120430626,22978.1844407,6725.11683256,1949.42615431,100486.679159,212530.107887,17222.0161571,7695.77176975,8039.90004437,48351.2711545,51934.3125768,34162.3509862,68703.381981,78698.3618003,19373.048968,71.3369182625,632.094734412,8639.02528064,4715.48918276,43461.4445132,56.5
Algeria,DZA,2010,48.3,24.09122119,59.2,25.80067305,3142.0,35468208.0,40605.637388999996,411194.101518,20220.974538799997,50786.151016300006,1093812.10327,186725.924532,57970.077252400006,467518.23871899996,1207949.24347,230204.10103800002,85863.81333139999,89106.436833,559370.937479,814616.962989,680530.6021939999,711433.10066,1459360.79636,517759.98252200003,885.630247382,19605.2047988,64183.594483,35114.3886618,386367.75967199996,53.9
Algeria,DZA,2011,49.1,24.13508542,59.8,25.84694324,3217.0,35980193.0,39080.921370699994,399596.090681,19642.1281339,46119.055482699994,1047571.63861,182298.019507,57166.17840240001,479142.93743,1229954.18229,233579.53256999998,87699.11310689998,89508.046625,570500.870497,827223.014439,695981.048233,729982.37473,1433420.87607,519492.155592,1005.84808274,22246.8097152,65001.7672334,35573.574374,398517.023692,55.0
Algeria,DZA,2012,49.9,24.17762739,60.3,25.8936414,3272.0,36485828.0,38104.0454769,388853.235578,19496.8494497,43504.8590093,994538.5469,179676.250308,56746.7476036,493171.334653,1256636.99299,237957.247613,89964.86238739999,90726.6254703,583548.058585,841425.334492,715969.033408,752241.0895390001,1407809.1015700002,519629.068553,4733.2306323,21704.023364099998,66083.9815391,35828.6194176,398924.070097,56.1
Algeria,DZA,2013,50.7,24.2180873,60.8,25.93875133,3296.0,36983924.0,37405.6650213,382019.477732,19274.4978592,41499.139835,947886.991757,177939.75653699998,56410.3347796,509098.886614,1286089.96141,243208.12645399998,92364.68738239999,92250.67168150001,597234.647877,855215.238477,737241.350368,774597.3412220001,1390775.88267,522425.71825,856.790840568,16455.2390889,67670.415373,36306.096653500004,403353.771503,57.2
Angola,AGO,2010,15.9,22.42691048,31.2,23.64185901,2345.0,19081912.0,1181406.41524,3607998.66048,840891.000249,148649.257159,1659926.80876,805874.003692,486295.05760500004,315184.93512399995,545008.87079,167432.942871,136676.025241,161568.89582,193638.435229,359144.302516,289685.393652,205159.858519,803706.240594,430737.66680699994,30.990785357600004,14426.4295032,47253.0751139,69935.48994380001,678384.0721550001,20.4
Angola,AGO,2011,16.6,22.52399305,32.1,23.76118071,2407.0,19618432.0,1181828.4695899999,3420031.0924299997,776147.957345,144709.056814,1627595.39888,771207.81206,475178.079858,321481.269945,547047.3486810001,168247.898695,136680.042586,159409.53595999998,198419.318637,371296.349142,290865.01510300004,211774.42751500002,802659.311886,421735.833549,8582.13386579,17256.9520539,48004.0670081,70761.56103089999,661309.48907,21.0
Angola,AGO,2012,17.3,22.61364199,33.0,23.87501755,2384.0,20162517.0,1187705.37042,3160584.25655,755607.4268840001,140310.496378,1584326.97952,740275.071029,465803.34596999997,329502.789303,551399.494179,169788.692969,137779.375625,158396.158705,203538.207611,384381.438499,293692.13058,218862.721805,804022.99897,409862.75222100003,35.1279109033,17571.8913855,48738.542392300005,71957.38156839999,643177.394483,21.5
Angola,AGO,2013,18.0,22.69689625,33.8,23.98241684,2473.0,20714494.0,1166418.82295,2921074.84571,792502.784791,134816.271854,1542468.01399,701672.036968,438734.44532,337446.023233,556951.615081,171024.273292,138995.536491,156496.40191400002,208667.689247,398281.731406,295289.235477,226669.772204,802884.2185310001,398592.39718800003,55.1532565766,14276.062397299998,49883.151557599995,73200.292711,613533.437525,22.1
Antigua and Barbuda,ATG,2010,49.9,26.75516884,63.4,28.68387498,2316.0,88710.0,450.094810441,877.0405129510001,56.617872590699996,33.9228349361,782.128760135,533.389304486,86.5112725627,2045.80300774,2969.69168681,479.569886087,309.340627535,274.06764890799997,1265.35839626,1903.38804398,2347.05314382,1469.42607652,2055.97338162,453.789544678,0.0,0.101913930043,98.43311453049999,289.394522273,1160.65528486,44.4
Antigua and Barbuda,ATG,2011,50.7,26.86250627,64.0,28.79722543,2369.0,89612.0,444.175507626,884.138315152,63.530273513000004,32.8990538825,765.970557688,532.644339437,88.06335642389999,2102.77789427,3010.77484202,482.882764577,316.913321494,277.321443945,1280.55791461,1926.57987299,2383.7302026,1500.43308462,2073.89815981,449.147816796,0.0,0.10935184717900001,100.622334603,284.824857663,1189.01026113,45.1
Antigua and Barbuda,ATG,2012,51.5,26.97235533,64.6,28.91337304,2293.0,90510.0,428.856264426,891.635052612,64.3388966049,33.4466423625,746.58403796,530.791558313,90.4344408262,2166.43118919,3046.13189454,485.703384175,322.756871243,281.064389187,1298.18843863,1946.60203816,2423.6972981999998,1533.85590127,2095.86948068,456.76918789,0.0,0.111316941949,96.574195244,281.118255567,1201.67378482,45.7
Antigua and Barbuda,ATG,2013,52.3,27.08053839,65.2,29.02906732,2417.0,91404.0,403.068176292,895.7313575810001,70.4573102358,32.2285073337,733.6957154339999,531.319608725,91.2095101812,2205.51098702,3064.5424070999998,484.79291017800006,325.569176176,286.118718291,1312.11151466,1969.93205418,2441.53163178,1569.29815146,2122.47196894,453.949044966,0.0,0.09628412969519999,96.3518722435,280.707147147,1196.32936279,46.4
Argentina,ARG,2010,63.8,27.19291425,57.5,26.85188178,3155.0,40412376.0,107208.190114,575883.2441100001,34096.4372302,28513.851454500003,436510.02923199994,88210.52639039999,23919.309782700002,1468833.4321899998,1809530.27425,423971.932216,175468.528143,145255.93059200002,572154.8185640001,1000022.1421299999,713337.575271,1049291.8852600001,1104224.94544,343631.548498,123.81830361600001,1141.96390703,209587.959004,138500.328091,491156.633529,59.8
Argentina,ARG,2011,64.6,27.298786100000004,58.1,26.95560027,3161.0,40764561.0,103635.250687,577269.091987,33427.0024391,26519.436836599998,426070.195685,86288.4042572,24544.4397407,1475848.6886200001,1804639.3176400003,425828.67619,178066.208457,146748.228589,580682.495909,1010710.1357600001,717822.977815,1064514.73744,1109195.0103200001,355753.60962,133.456631922,1217.97368014,212990.008299,142487.260503,504587.365566,60.4
Argentina,ARG,2012,65.3,27.39624699,58.7,27.05402735,3197.0,41118986.0,109110.597613,584605.02286,32276.7109434,25567.0698515,413320.979736,84847.2386781,25607.5087472,1489394.32301,1804227.69249,426512.784896,181543.949112,148647.81590699998,590503.48434,1021141.63271,725227.133608,1080401.47596,1115807.6083,362762.357485,136.081662252,1241.48981758,218643.537342,147307.87217000002,507971.244559,61.0
Argentina,ARG,2013,66.0,27.4889604,59.2,27.14817972,3229.0,41473982.0,110158.00942999999,586929.644356,31801.1040417,24928.420434599997,403589.548342,83600.1499354,27348.0781676,1504734.75854,1800495.7733200002,425030.45305,183800.396002,150818.665791,598505.77965,1033363.84736,732334.340873,1098302.22688,1120458.89794,367036.69707,3090.08276906,1030.07738864,225397.54963000002,152474.890747,518364.355009,61.6
Armenia,ARM,2010,50.5,25.45001207,51.1,27.08821191,2768.0,3092072.0,5825.62654356,29626.835943299997,447.57081085199997,715.276295575,28556.2421542,8377.12363121,2446.91659098,130081.06780599999,238548.756639,26552.686041900004,22804.387804299997,15371.1520123,41942.212523300004,55803.7811281,69400.5471804,56913.0294794,85852.16144930001,18284.1583482,4259.71057971,214.409173742,9588.12295369,7360.36153825,46128.70420869999,51.2
Armenia,ARM,2011,51.7,25.56154244,51.7,27.17024643,2788.0,3100236.0,5328.47843214,29129.558762,418.111054056,617.695861761,27538.3691205,8200.7137693,2377.15861013,128520.408744,232876.052798,26082.5004402,22917.0838733,15560.3907785,42359.229488699995,56123.3307493,69173.80909550001,57943.32612869999,85625.43073569999,18244.5115535,4769.26069067,270.517185431,9798.42942894,7271.48182553,46691.712399699994,51.9
Armenia,ARM,2012,52.8,25.67253692,52.2,27.25082862,2882.0,3108972.0,5490.82322739,28540.8700059,411.594836299,580.501224859,26183.3719064,8163.85329249,2283.17670889,126543.19180999999,227809.77148400003,25630.2375105,22287.0758836,15825.831769600001,42970.058273,56532.922705699995,69241.89631669999,59323.21940830001,85821.523539,17822.7618845,4330.78208115,745.6039753619999,10212.100584,7080.4617418,45577.9767523,52.6
Armenia,ARM,2013,53.9,25.77919859,52.7,27.32795045,2928.0,3117722.0,4841.12837651,27550.394011,437.97004105,625.652163141,24827.6088019,8117.37397881,2194.09378659,123161.31748099999,219178.08471700002,25023.190599,21542.9016412,15806.7271815,43685.714128600004,56898.1374418,68663.967229,60839.1533757,86465.4301121,17199.293340400003,3697.26534561,412.477080935,9963.31044885,6784.73620037,45159.8067942,53.3
Australia,AUS,2010,67.4,27.31660252,55.2,26.556773,3213.0,22268384.0,7426.01424395,77594.8420707,565.130204257,2224.8615834,77933.124575,11518.5737511,13386.2833631,809471.490131,646691.657231,239062.675314,47555.9282544,53196.118365099996,400497.720268,706309.296617,261130.209448,659864.691602,500465.43308199994,126249.931772,33.557904393499996,0.0,113985.344982,22287.6012439,190944.779557,63.9
Australia,AUS,2011,67.9,27.36339251,55.8,26.61305495,3237.0,22605732.0,7860.82177347,78846.16901639999,557.390540843,2162.71945395,76499.4898925,11566.7056052,13216.8365194,820968.103964,647924.302293,242725.93958,48123.5600907,53680.0158637,408134.03060500004,717074.479969,264974.142502,667858.5282609999,506709.679347,124267.51968299999,1546.11157734,0.0,114214.67863499999,22124.031415200003,193343.176543,64.4
Australia,AUS,2012,68.5,27.40875893,56.4,26.66827789,3257.0,22918688.0,6923.13976108,80245.17800389999,654.121405867,2164.95016312,74431.2731526,11677.051376899999,12811.2370401,830984.990411,647799.833141,246143.46345500002,48845.2312389,54397.6906314,415907.735279,727862.009373,268991.163004,676604.347531,514160.816172,123099.666379,33.065445166399996,0.0,115365.87355,22142.4104398,196322.95969400002,65.0
Australia,AUS,2013,69.0,27.45331026,57.0,26.72235109,3276.0,23213944.0,6895.64131633,81338.47919279999,614.789163276,1971.406653,73977.66777939998,11782.6927832,11830.295964899999,842474.699764,646274.869425,248908.59545700002,51184.0006896,54891.15248609999,423508.18994099996,739456.958934,271856.938225,685901.4423550001,522994.22989200003,118732.267406,41.1937317517,0.0,115182.41543699999,22096.2390949,200934.260263,65.5
Austria,AUT,2010,60.7,26.37951779,45.5,24.44890766,3724.0,8393644.0,4662.27155925,28086.6016967,56.1262355183,418.47946524599996,24464.874524000003,6576.70165302,2807.69564174,369724.760176,416560.523034,76113.1789791,49107.2369835,28142.781758700003,190575.96255599998,222787.703646,142489.504559,223139.71301399998,214512.556172,45938.7371401,1119.85528193,0.0,51516.4216088,5935.18970051,106583.515315,55.2
Austria,AUT,2011,61.1,26.43831851,46.0,24.45929597,3735.0,8413429.0,4466.61969665,27611.708079900003,53.711467799,398.606925011,23690.535751800002,6520.46148622,2822.70654208,372664.2434,413351.136162,75918.4954017,48033.837567400005,27708.431181200005,192677.895462,223104.82956500002,143222.639752,225289.855081,215383.169544,44288.6896981,103.168932646,0.0,50747.9677844,5844.678875,106741.703333,55.7
Austria,AUT,2012,61.6,26.49503177,46.4,24.46834463,3739.0,8428915.0,4421.9017098,27349.8568455,56.6011007678,369.49240699800004,22846.3223471,6507.74303391,2811.08257965,375708.894271,413844.40382199996,76212.43495439999,47650.361641100004,27431.497128099996,194965.268285,223407.22804899997,144964.167544,227833.198834,216329.033733,42956.7516343,741.818835479,0.0,49822.3186258,5737.97562837,107073.793043,56.1
Austria,AUT,2013,62.0,26.55039555,46.8,24.47608529,3768.0,8441263.0,4970.81879706,27152.821220599995,57.7238865795,378.199074991,22652.6660778,6478.13395816,2790.53335492,376465.972405,411749.067609,76452.46193060001,47018.171809,27315.989500599997,196822.29933699997,223759.240921,145286.552097,230392.47439899997,217933.263876,40522.5691653,876.116704595,0.0,48770.234088,5738.68380371,107984.63211199999,56.6
Azerbaijan,AZE,2010,50.7,25.88261525,54.2,27.459154700000003,2973.0,9187783.0,39986.390456199995,337220.83917399996,2055.89193472,4737.17288138,264390.434655,47179.1568185,15200.9785377,265804.373939,740624.149296,68844.04360830001,87371.30240449999,30847.353122200002,129022.335448,197476.059916,176177.431415,147894.13533,255612.125673,48609.4267485,46.0876182245,2284.42841501,19201.9502998,22188.205233099998,161732.822199,48.0
Azerbaijan,AZE,2011,51.9,26.01674785,55.0,27.58895625,3039.0,9306023.0,37694.019979900004,321445.092489,1994.53861197,3545.30713618,260431.543602,46975.208155800006,15191.4608875,265676.902012,721166.12557,67591.2735453,86138.45453510001,30489.3071903,130444.009305,200668.104366,175103.283639,152233.76754200002,258289.84110999998,49362.056930599996,49.1579733957,2544.91262968,19221.4230153,22848.5748551,165238.614995,48.8
Azerbaijan,AZE,2012,53.0,26.13941841,55.8,27.71037557,3055.0,9421233.0,36089.864954000004,305619.659873,1936.37003329,3498.45864135,252608.52403899998,46739.732020999996,15260.5790481,272895.597209,738460.836853,68281.5170544,88548.7705397,30787.4239603,132297.562593,204121.76109100002,178684.02336199998,156795.673932,260309.680552,50981.981758199996,50.062475928000005,3508.30614655,19763.7105122,23902.835250599997,166989.64946,49.7
Azerbaijan,AZE,2013,54.1,26.25459633,56.5,27.82462938,3118.0,9533445.0,34166.4792535,289212.353166,1913.62387278,3249.6196933,243790.722107,46271.87670859999,15250.169141999999,273410.214676,724602.239224,67631.9047632,87510.8772347,30579.898331200002,133727.599524,207072.942876,178091.83739200002,161390.769322,262057.65185300002,51698.7824262,42.8197625852,2880.64808562,19919.8848303,24455.5042625,168651.99009200002,50.6
Bahamas,BHS,2010,58.6,26.88991931,65.9,28.63443434,2598.0,342877.0,6127.99950462,4034.8262852,141.267225331,288.640766455,3804.38289801,1421.35229768,467.84462380900004,11593.1081417,16144.779863999998,2327.62169601,1712.35758975,1635.74997294,4911.83733563,7960.43608961,10126.7794997,7045.47099783,8920.80144036,3701.60602083,207.63540205700002,0.1062916209,550.0123551959999,4446.64124894,4777.10247812,61.3
Bahamas,BHS,2011,59.1,26.96173341,66.1,28.69022957,2568.0,347176.0,6116.59565747,4083.14598365,154.94294747799998,200.772737215,3659.68362816,1415.71775883,472.685018491,12105.9106401,16948.6362236,2361.95475261,1765.80398246,1682.07081701,5024.24035884,8080.5807956,10454.532644600002,7203.68433874,9041.59191403,3761.22867008,53.1248999442,0.11808062628699999,577.407719979,4620.8942555,4976.69316574,62.0
Bahamas,BHS,2012,59.7,27.03515668,66.4,28.747737199999996,2671.0,351275.0,5916.65334286,4257.10152164,156.602610159,261.599279078,3685.37576557,1433.02299278,488.99210569400003,12754.672823899999,17694.9640873,2419.88738102,1818.28619857,1738.16188546,5144.91768673,8215.66951825,10905.583248899999,7412.38554678,9243.59040074,3736.76205691,2.14038299254,0.121912385348,585.596373447,4704.38559232,5129.58317649,62.6
Bahamas,BHS,2013,60.3,27.10955405,66.8,28.80637621,2670.0,355233.0,5605.39392804,4361.21450814,173.109008662,251.004637217,3652.05927626,1454.51436156,509.436889422,13310.2457908,18512.4791315,2468.78382654,1913.84381096,1805.11826753,5273.22374022,8365.61323852,11228.343439799999,7589.72135729,9452.07636449,3797.84084084,5.36007775727,0.100994149312,592.707524844,4786.33988533,5258.03068286,63.2
Bangladesh,BGD,2010,12.3,20.757286899999997,17.8,20.96245911,2439.0,148692131.0,508956.730025,6238828.91972,754809.1997989999,462173.342012,6911036.70287,1532939.35877,902777.970301,2205565.53253,6139053.59981,1904494.60635,926691.536342,716889.4742630001,1991902.84159,3024408.95353,2317128.63217,2592202.9133,4071851.68527,1300784.1773,29287.381917299997,0.0,662295.973954,313227.514662,3004126.2436,15.2
Bangladesh,BGD,2011,12.8,20.77374079,18.5,21.07308611,2429.0,150493658.0,497665.714932,5840411.28587,678287.089443,428326.921773,6548479.1984,1450714.60903,855347.656914,2223058.55555,6138153.47408,1903749.39251,897696.927826,701675.2924050001,2016009.52252,3073387.71813,2298661.81012,2653570.87926,4070503.00825,1344658.61873,34116.3960508,0.0,640594.78405,312077.109677,2923602.1688099997,15.8
Bangladesh,BGD,2012,13.2,20.79038093,19.1,21.18350048,2435.0,152408774.0,511578.80801000004,5494719.22452,609104.387886,404653.365321,6161844.58136,1391739.5610200001,824760.257035,2282347.20396,6317421.028630001,1954527.6228099999,916685.60705,701741.70283,2050350.11906,3125831.67453,2339204.97415,2713157.8725400004,4063669.22365,1422367.68074,50187.9137011,0.0,640327.986455,314696.32588099997,2810995.59634,16.4
Bangladesh,BGD,2013,13.7,20.80701341,19.7,21.29256291,2450.0,154393847.0,522881.59297700005,5149261.33815,599297.060434,379347.939394,5758383.96291,1308512.18431,772522.9247229999,2328140.3089799997,6379527.72671,1995345.0148599998,932545.725307,694306.282928,2074087.86535,3180737.27087,2375555.4523400003,2776034.44412,4075074.70112,1449063.55799,27782.8542587,0.0,622441.8732220001,312265.33539,2761344.91195,17.0
Barbados,BRB,2010,48.0,26.25436761,60.2,28.62800229,2909.0,273331.0,1461.51603151,3377.92513026,304.70883618,97.7236844559,3024.60375905,1111.19804079,440.64147762199997,11523.6334708,12071.5575012,1848.22544981,1019.00279563,1306.31482184,4702.88400319,5897.00299674,10011.8611379,6343.13532957,8045.94133366,1597.63708973,0.161837693488,0.0,635.508548088,1495.80036998,2806.42362803,50.7
Barbados,BRB,2011,48.8,26.35983122,60.9,28.71876922,2892.0,273925.0,1479.90075227,3411.43258472,201.306910937,128.83761136,3008.96085502,1099.31758275,442.91269812800005,11754.3956052,12293.4564741,1848.71779256,1033.62910112,1310.5200949999999,4742.142998300001,5922.9413036000005,10162.5406799,6415.17199697,8107.1730318,1650.46279711,0.175654230532,0.0,633.79126265,1520.92155605,2915.80810157,51.4
Barbados,BRB,2012,49.6,26.46445319,61.5,28.80964717,2912.0,274530.0,1303.95083049,3444.45309791,184.208255706,135.503136494,2939.12273212,1096.92885286,451.551407532,11947.613252500001,12430.233014,1855.85900119,1051.08461947,1318.71120203,4791.19488453,5951.85274507,10248.989115100001,6501.69468659,8167.56698432,1609.35005618,0.177344050064,0.0,633.506673792,1480.85436505,2939.06949189,52.2
Barbados,BRB,2013,50.5,26.56683888,62.2,28.89963376,2937.0,275141.0,1249.67636568,3472.0208486,220.67469666099998,129.47992079,2880.49715438,1098.44567435,453.554705693,12213.5550149,12731.406745100001,1865.57876941,1066.45644994,1337.91085563,4822.27021751,5972.63187433,10389.7762866,6588.989026100001,8268.47336078,1591.2058799000001,0.147980071832,0.0,626.792565669,1473.61096727,2951.83538866,53.0
Belarus,BLR,2010,57.2,26.38448176,52.1,26.48890431,3196.0,9595421.0,48333.5258063,65952.43273090001,623.505610064,1259.73989702,43620.302684199996,11323.0979383,7674.52776128,481693.45992299996,1485065.1436100001,83022.5293204,107644.669178,59305.1766152,169614.245081,326826.993761,121698.12663599999,235277.89323400002,248333.81799899996,121961.28146400001,2682.54929353,568.229547815,140138.51207599998,44877.244904900006,338455.728627,59.3
Belarus,BLR,2011,58.2,26.48749362,52.4,26.52677534,3400.0,9559441.0,48299.483631999996,64612.5559135,614.2861064169999,1182.21237386,42554.285703199996,11078.824482799999,7659.56857539,479686.53041899996,1466728.1397,79108.8592546,108399.96513299999,58676.8695056,169915.309146,325680.294777,119792.795652,235804.05494,246447.729461,120218.75544200001,4706.60536053,1063.88051506,135696.100284,44157.0803574,339732.69625700003,59.9
Belarus,BLR,2012,59.2,26.58187365,52.7,26.55849939,3400.0,9527498.0,42446.5532665,59910.8445591,582.73262664,1146.91105595,41134.3402199,11033.0062783,7313.46322125,451618.70423800003,1356902.2899,73602.43093139998,94250.0866094,55301.530062800004,169253.073152,318969.330136,115867.97597,236565.207589,245081.86978600002,107056.522964,96.7332691139,30.3801373707,120293.04758599999,40104.129992,319207.576855,60.5
Belarus,BLR,2013,60.0,26.6690216,52.9,26.58315887,3250.0,9498290.0,38093.970786699996,57460.31931490001,554.492700315,1073.73919344,39775.8361594,11043.064423799999,7263.94824165,441511.62162700004,1312743.73541,68371.2727538,88885.2822041,53818.52653180001,169242.4297,316700.530373,113690.70754300001,237609.49840500002,243940.667106,98499.6087781,2255.70555045,535.782086575,110794.649269,36922.09518430001,308063.562145,61.1
Belgium,BEL,2010,65.5,26.62673598,49.7,25.153950100000003,3707.0,10712066.0,6623.86866934,84107.0077497,80.08264984729999,1295.85841651,30083.682260100002,10955.5106829,6008.15447056,550046.01185,477236.859597,131271.09528,46465.1665203,47376.3252834,262086.60819899998,282656.613521,154643.917134,313792.138231,289217.471989,75213.01683610001,0.0,69.3401386063,86128.09783130001,11614.295976899999,151270.799349,61.9
Belgium,BEL,2011,65.8,26.69847466,49.9,25.1558496,3720.0,10754056.0,6150.70649288,83937.12915339999,78.54104706,1264.20768931,30024.818893799995,10978.8308282,6086.87402317,551232.745354,472669.497904,130843.06949000001,46629.0545812,47440.561958499995,266423.846593,286284.340092,155340.600982,317854.35538200004,292258.013327,73421.8518757,0.0,65.9990636951,86279.9561225,11669.0795709,152071.262055,62.3
Belgium,BEL,2012,66.2,26.76834382,50.1,25.15466731,3715.0,10787788.0,6098.36472118,84432.58370510001,78.3363469306,1196.39804744,29755.7386125,11052.4338028,6173.52293284,552475.16843,472049.899593,131550.378879,46819.651110800005,47456.269303099994,269965.787809,288320.630535,156266.44560799998,320621.14067600004,294820.77299800003,70855.5410613,0.0,65.74981059859999,84885.72395760001,11508.464391700001,152366.69906400001,62.6
Belgium,BEL,2013,66.5,26.83759423,50.3,25.15239497,3733.0,10815599.0,6278.42769895,83956.1345645,77.5355499656,1146.73887257,29128.102238,11079.5971629,6166.27297395,549887.9773189999,466602.18402,130713.97316300002,45951.9764913,47066.73020309999,272472.568267,289446.554212,156094.938139,322680.745385,296168.862707,68865.445981,0.0,75.025387918,82539.2015348,10929.185145899999,151595.027264,63.0
Belize,BLZ,2010,43.7,26.89955011,56.7,29.74365715,2839.0,311627.0,4928.84730498,5290.73717117,546.5924808990001,244.001947828,7243.68043839,2237.03816448,420.48152742900004,6240.57339733,9074.41333398,2662.04441696,1567.11660783,1281.06663505,3655.57649754,6253.46128015,8289.99112407,4331.29975406,8245.48206095,3783.90325712,4.87157577377,7.470392378,1037.19453723,3801.02108725,5237.58529077,47.0
Belize,BLZ,2011,44.4,26.99399649,57.3,29.85905279,2761.0,317928.0,4871.58388396,5339.93709122,395.562114214,154.829149746,7274.93605674,2249.30263018,430.208756874,6407.05358991,9286.641119700002,2691.55232552,1629.48635427,1299.78182287,3769.64084967,6454.60300768,8491.35170876,4484.74073967,8460.3878149,3897.44939284,5.21015731931,8.15201152795,1090.95914244,3967.95528673,5345.45164776,47.8
Belize,BLZ,2012,45.0,27.08716559,57.9,29.972183500000003,2735.0,324292.0,4828.11656883,5417.85762992,369.553632032,173.754446618,7228.11682015,2266.57710816,435.480863003,6633.9605977,9529.56120691,2735.89449342,1674.98566569,1322.33567957,3885.49707848,6630.31662236,8682.12283479,4653.71698978,8552.18024671,3859.60123706,5.37978969386,8.396383592260001,1090.96705669,4025.27345814,5405.43650159,48.5
Belize,BLZ,2013,45.7,27.17631332,58.5,30.08319666,2751.0,330721.0,4818.42213965,5422.41720138,361.742259531,123.833539515,7112.04498894,2292.66488754,441.595691454,6879.786414499999,9750.81152539,2763.21506712,1761.57175627,1356.48988601,3988.71795529,6823.26254389,8875.54318286,4825.33917262,8725.12069304,3942.51652962,4.41756133177,6.820258689609999,1120.0726187,4088.38744274,5447.42792069,49.3
Benin,BEN,2010,15.0,22.33750372,31.8,23.72900747,2555.0,8849892.0,268277.338297,1468721.9439100001,830184.687263,82291.8580784,757017.295727,224220.67939699997,46692.604640599995,154463.361638,252808.58569299997,68143.60259909999,67085.2911399,65095.057875,94398.11416499999,158223.657155,212405.150447,105148.86738099999,379104.958116,88507.51510399999,2823.65556259,0.0,29677.272721200003,19022.4580897,180071.40656300003,23.0
Benin,BEN,2011,15.4,22.39131977,32.6,23.8524691,2598.0,9099922.0,256667.132478,1486803.67196,774517.355512,83257.87724239999,759992.558558,225267.55868699998,45826.6108602,160655.700056,261053.809294,70247.30469969999,66198.7974672,65992.3937678,97550.8973881,163480.75356500002,217214.99143400003,108596.796495,382982.17147,90473.5076598,13.4586325111,0.0,30514.011801200002,19655.4371343,182165.214229,23.5
